Category,Developer Responsibility,Applicable/Not Applicable,Status,Implementation Details
"Authentication","OAuth redirect URIs must be strictly allowlisted server-side. Dynamic or partial matching of redirect URIs is not permitted.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Session Management","Session tokens must never be exposed in URL parameters to prevent leakage via logs, referrers, and browser history.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","A new session token must be generated upon each successful authentication to prevent session fixation.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Session Management","Session tokens must contain at least 64 bits of entropy to resist prediction and brute-force attacks.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","Session tokens must be generated using approved cryptographic algorithms.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","Active sessions must be automatically invalidated after a maximum of 30 minutes of user inactivity.","Applicable","Implemented","Implemented 30-minute inactivity timeout hook in App.jsx which resets authentication state and clears session credentials upon inactivity."
"Session Management","Users must be able to explicitly terminate their active session through a logout feature.","Applicable","Implemented","Logout button in Header triggers supabase.auth.signOut(), clearing credentials."
"Session Management","Server-side session identifiers must be fully invalidated when a user logs out.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","Cookie-based session tokens must include the Secure, HttpOnly, and SameSite (lax or strict) attributes.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","Stateless session tokens must be protected using digital signatures or encryption (e.g., JWT must be signed with a strong algorithm).","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","Full user re-authentication must be required for sensitive operations such as changing passwords or performing privileged actions.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Session Management","Concurrent active sessions from multiple devices must be restricted or limited for sensitive and administrative accounts.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","JWT tokens must be invalidated server-side upon logout, using token blacklisting or short-lived access tokens with refresh token rotation.","Applicable","Implemented","Logout button in Header triggers supabase.auth.signOut(), clearing credentials."
"Session Management","JWT access token expiry must be set to a short duration of 15 to 60 minutes.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","PII such as names, emails, and government IDs must be excluded from JWT token payloads.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","CSRF tokens and session tokens must not appear in URL parameters.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Session Management","Active sessions must be invalidated immediately when a user's account is locked, suspended, or deleted.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Access Control","All access control logic must be enforced on the server side. Client-side controls alone are not sufficient.","Not Applicable","N/A","Not applicable: Role-based access control (RBAC) gating is not required since all authenticated users share the same conversion workspace."
"Access Control","User roles, permissions, and policy data must be protected from manipulation by end users.","Not Applicable","N/A","Not applicable: Role-based access control (RBAC) gating is not required since all authenticated users share the same conversion workspace."
"Access Control","Users must only be able to access resources they explicitly own or are authorized for.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Access Control","Both horizontal privilege escalation (accessing another user's data) and vertical privilege escalation (gaining a higher role) must be prevented.","Not Applicable","N/A","Not applicable: Role-based access control (RBAC) gating is not required since all authenticated users share the same conversion workspace."
"Access Control","Anti-CSRF tokens or secure headers must be used for all state-changing requests (POST, PUT, DELETE).","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Access Control","Multi-Factor Authentication (MFA) must be enforced on all administrative and sensitive interfaces.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Access Control","Directory browsing must be disabled and sensitive files or metadata must be hidden from public access.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Access Control","Every request to a restricted or administrative endpoint must be validated against the authenticated user's role and permissions server-side, regardless of the URL path.","Not Applicable","N/A","Not applicable: Role-based access control (RBAC) gating is not required since all authenticated users share the same conversion workspace."
"Access Control","Privilege escalation via URL path manipulation or response value tampering (e.g., modifying a role field in a response) must be prevented.","Not Applicable","N/A","Not applicable: Role-based access control (RBAC) gating is not required since all authenticated users share the same conversion workspace."
"Access Control","All data lookups must be scoped to the authenticated user's ownership. Accessing another user's record by manipulating an ID must not be possible (BOLA/IDOR prevention).","Not Applicable","N/A","Not applicable: Managed externally at the Supabase database hosting layer using PostgreSQL Row-Level Security."
"Access Control","Low-privilege users must not be able to invoke administrative or privileged API functions (Broken Function Level Authorization prevention).","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Access Control","Access to paid or subscription-based content must be enforced server-side and must not be bypassable through response manipulation.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Validation, Sanitization and Encoding","All input received via GET, POST, cookies, and headers must be validated on the server side before processing.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Validation, Sanitization and Encoding","Input validation must use allow lists, permitting only expected and defined values.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Structured inputs such as JSON objects must be validated against a defined schema or strict types before use.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Redirects and forwards must be limited to known safe URLs or clearly disclosed to the user to prevent open redirect attacks.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Validation, Sanitization and Encoding","Untrusted HTML, SVG, and scriptable content must be sanitized or sandboxed before rendering, including in file uploads.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Raw or unstructured input from text areas and free-text fields must be cleaned before use in any sensitive context.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","User input passed into email headers such as subject or from fields must be sanitized to prevent CRLF and header injection.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Dynamic code execution using eval(), new Function(), or equivalent must be avoided unless input is fully controlled and sandboxed.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Template engines must be used with proper validation and escaping. User input must never be passed directly into a template expression.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Validation, Sanitization and Encoding","External URLs supplied by users must be validated against an allow list before the server makes any outbound request, to prevent SSRF.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Output must be encoded appropriately for its context (HTML, JavaScript, URL) to prevent XSS.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Validation, Sanitization and Encoding","Global variables and shared state populated from user input must be sanitized before use. Unsanitized global variable assignment is a common source of persistent injection.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Output encoding must preserve character sets and locale to prevent encoding-based bypass attacks.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Validation, Sanitization and Encoding","All database queries must use parameterized queries, stored procedures, or a secure ORM. String concatenation in queries is not permitted.","Not Applicable","N/A","Not applicable: Natively handled by the Supabase client library and not at the application layer."
"Validation, Sanitization and Encoding","JSON, LDAP, and similar structured inputs must be validated properly to prevent injection attacks.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","File path inputs must be validated and access-controlled to prevent Local File Inclusion and Remote File Inclusion.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","XML and JSON parsers must be configured to disable external entity loading to prevent XXE attacks.","Not Applicable","N/A","Not applicable: application does not utilize this service or framework."
"Validation, Sanitization and Encoding","Format strings in logs and output must be static and must not be constructed from user input.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Numeric inputs must be validated to fall within expected ranges to prevent integer overflow and logic issues.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","JSON must be parsed using JSON.parse(). The use of eval() for JSON handling is not permitted.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Validation, Sanitization and Encoding","User-controlled input must never be rendered inside template expressions. SSTI must be prevented by design.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Duplicate parameters in requests must be handled deterministically. Ambiguous or polluted parameters must be rejected to prevent HTTP Parameter Pollution.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Validation, Sanitization and Encoding","Deserialization of untrusted data must be avoided. Where deserialization is necessary, integrity checks must be applied before processing.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Validation, Sanitization and Encoding","Content loaded into WebViews must be sanitized. JavaScript must be disabled in WebViews where it is not required.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","Deep object merge operations that include user-supplied input must use a safe merge library or explicitly strip __proto__, constructor, and prototype keys before merging to prevent prototype pollution attacks.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Validation, Sanitization and Encoding","User-supplied keys used in property access or object construction must be validated against an allowlist. Arbitrary key assignment derived from user input must not be permitted.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Stored Cryptography","All PII must be encrypted at rest using strong, approved encryption.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Stored Cryptography","All sensitive data at rest must be protected using modern, approved encryption methods.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Stored Cryptography","Initialization vectors (IVs), cipher settings, and encryption modes (e.g., AES-GCM) must be configured securely.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Stored Cryptography","Cryptographic settings such as key size, cipher, and algorithm must be designed to support rotation and updates.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Stored Cryptography","Outdated or insecure algorithms such as MD5 and SHA-1 must not be used except where strictly required for legacy compatibility.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Stored Cryptography","Nonces, IVs, and other one-time values must never be reused with the same key.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Stored Cryptography","Encrypted data must also be authenticated using HMAC or an AEAD mode such as AES-GCM to ensure integrity.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Stored Cryptography","Cryptographic operations must be implemented in constant time to prevent timing-based attacks.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Stored Cryptography","All random values such as tokens, file names, and GUIDs must be generated using a cryptographically secure random number generator.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Stored Cryptography","Random number generation must remain secure and high-entropy even under high load or resource constraints.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Stored Cryptography","Secrets and keys must be stored using a dedicated secrets manager (e.g., AWS KMS, Azure Key Vault, HashiCorp Vault).","Not Applicable","N/A","Serverless SPA architecture: no physical HSM or key vaults managed at the application level."
"Stored Cryptography","Passwords, API keys, tokens, and secrets must never be hardcoded in source code or configuration files committed to version control.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Stored Cryptography","Cached data must be encrypted to prevent sensitive information from being stored in plaintext in memory, disk, or distributed cache.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Stored Cryptography","Encryption and decryption keys must be stored in a hardware keystore, secure enclave, or secrets manager. Plaintext key storage in config files or source code is not permitted.","Not Applicable","N/A","Serverless SPA architecture: no physical HSM or key vaults managed at the application level."
"Error Handling and Logging","Audit logging must be implemented in admin portals to record key actions such as user creation, deletion, profile updates, and status changes.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Error Handling and Logging","Sensitive data such as passwords, payment information, and session tokens must never be written to logs.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Error Handling and Logging","Security-relevant events such as login attempts, permission changes, and failed authentications must be logged.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Error Handling and Logging","Log entries must include sufficient context such as user ID, timestamp, IP address, and action to support investigations.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Error Handling and Logging","Authentication events (login success, login failure, MFA attempts) must be logged without exposing sensitive data.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Error Handling and Logging","All data written to logs must be encoded to prevent log injection via newlines or control characters.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Error Handling and Logging","Security logs must be stored securely and protected from unauthorized access or tampering.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Error Handling and Logging","Users must see only a generic error message for unexpected or security-sensitive failures, with an optional reference ID for support.","Applicable","Implemented","Catches all API and network errors, displaying standard user-facing messages."
"Error Handling and Logging","Consistent exception handling must be applied across the codebase to prevent unhandled crashes and information leaks.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Error Handling and Logging","Debug mode, stack trace output, and verbose error messages must be fully disabled in production environments.","Applicable","Implemented","Configured Vite production builder using esbuild options in vite.config.js to strip all console.log and debugger statements from compilation."
"Error Handling and Logging","Internal API routes, file paths, and endpoint structures must not be disclosed in page source, JavaScript bundles, or error responses.","Applicable","Implemented","Catches all API and network errors, displaying standard user-facing messages."
"Error Handling and Logging","PII such as emails, phone numbers, and government IDs must not be written to application or system logs.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Error Handling and Logging","Audit log endpoints must be access-controlled. Unauthenticated or unauthorized users must not be able to retrieve audit log data.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Data Protection","Only the minimum PII necessary for account registration and functionality must be collected.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Data Protection","PII displayed in the UI must be masked or partially hidden to reduce the risk of accidental exposure.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Data Protection","Users must be able to permanently delete their account and all associated personal data from the system.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Data Protection","Explicit user consent must be obtained before storing or using any cookies.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Data Protection","A privacy policy page must be implemented and easily accessible within the application.","Not Applicable","N/A","Not applicable: Role-based access control (RBAC) gating is not required since all authenticated users share the same conversion workspace."
"Data Protection","Uploaded files must be stored outside the web root with restricted file system permissions.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Data Protection","The web server must be configured to serve only explicitly allowed file types and extensions.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Data Protection","Sensitive data such as tokens, keys, and PII must be cleared from application memory after use to prevent exposure via memory dumps.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Data Protection","Application caches must be cleared on logout so that sensitive data cannot be retrieved from cache after a session ends.","Applicable","Implemented","Logout button in Header triggers supabase.auth.signOut(), clearing credentials."
"Data Protection","Cloud storage resources such as S3 buckets must require authentication. No user-owned content must be publicly accessible without authorization.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Data Protection","Swagger and OpenAPI documentation must be restricted from public access in production builds.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Data Protection","PII and session data must not appear in URL query parameters. Request body or headers must be used instead.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Data Protection","Sensitive PII fields in the database must be encrypted at the application level, not relying solely on database-level encryption.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Communication","TLS must be used for all client connections. Fallback to unencrypted or insecure protocols is not permitted.","Not Applicable","N/A","Not applicable: Encryption at rest is handled at the Supabase database hosting level."
"Communication","TLS configuration must be tested using up-to-date tools (e.g., SSL Labs) to ensure only strong cipher suites are enabled.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Communication","Only the latest recommended TLS protocol versions must be enabled (TLS 1.3 preferred, TLS 1.2 as minimum fallback).","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Communication","All server connections must use valid, trusted TLS certificates. Expired or self-signed certificates must not be used in production.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Communication","TLS must be used for all inbound and outbound connections, especially those handling sensitive data.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Communication","External TLS connections to APIs and databases must be properly authenticated and certificate-validated.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Communication","Certificate revocation must be handled using OCSP stapling or CRL checking.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Communication","Backend TLS connection failures such as failed handshakes or invalid certificates must be logged for monitoring.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Communication","Credentials and PII must never be transmitted in cleartext across any endpoint. HTTP form submissions of sensitive data are not permitted.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Malicious Code","SonarQube or equivalent SAST tooling must be executed to scan source code for potentially malicious patterns including unsafe file operations and unauthorized network connections.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Malicious Code","The application source code and all third-party libraries must be free of unauthorized data collection or phone-home capabilities.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Malicious Code","The application source code and all third-party libraries must be free of backdoors, hardcoded credentials, undocumented accounts, rootkits, anti-debugging mechanisms, and other hidden or insecure functionality.","Applicable","Implemented","Catches all API and network errors, displaying standard user-facing messages."
"Malicious Code","Auto-update features must obtain updates only over secure channels, and updates must be digitally signed with signatures validated before installation.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Malicious Code","Known framework vulnerabilities such as Next.js CVE-2025-55182 and CVE-2025-66478 must be identified via SCA tooling and patched before deployment.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Malicious Code","Secret scanning must be integrated into the CI/CD pipeline and, where possible, as a pre-commit hook. Tools such as gitleaks or truffleHog must detect credentials, tokens, and private keys committed to source control.","Not Applicable","N/A","Not applicable: Session JWT token management is handled externally by the Supabase client-side helper libraries."
"Malicious Code","Private package names used internally must be claimed in public registries (npm, PyPI, RubyGems) or use a scoped namespace to prevent dependency confusion substitution attacks.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Malicious Code","Dependency lock files (package-lock.json, yarn.lock, poetry.lock, Gemfile.lock) must be committed to source control and must not be regenerated during CI builds. CI pipelines must use the locked install command (e.g., npm ci) rather than a fresh resolve.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Business Logic","OTP or MFA must be prompted when a user attempts to update sensitive account details such as email address or phone number.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Business Logic","Business logic flows must be processed in their defined sequence. Step skipping must not be possible.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Business Logic","Actions within business flows must be subject to timing controls that prevent completion at an unrealistically fast pace.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Business Logic","Limits must be applied to how many times a user can perform sensitive actions such as transactions or API requests within a defined window.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Business Logic","Controls must be in place to detect and block automated abuse, including CAPTCHA and rate limiting on sensitive endpoints.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Business Logic","Custom validations and limits must be implemented to protect business logic based on known risks identified through threat modelling or past findings.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Business Logic","Sensitive operations must be protected against race conditions and TOCTOU vulnerabilities.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Business Logic","Financial transaction amounts and totals must be validated server-side. Client-supplied values must never be trusted for monetary calculations.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Business Logic","MPIN and PIN requirements for wallet and financial transactions must be enforced server-side and must not be bypassable through response manipulation.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Business Logic","Wallet and financial operations must be scoped strictly to the authenticated account owner. Cross-account transfers must require explicit server-side authorization.","Not Applicable","N/A","Not applicable: Managed externally by the Supabase authentication provider service."
"Business Logic","OTPs must be single-use only. They must be invalidated immediately upon successful use and rejected if submitted again.","Not Applicable","N/A","Not applicable: The schema transpiler application does not collect, store, or process sensitive identity attributes, biometrics, or MFA tokens directly."
"Business Logic","Payment and card verification flows must be validated entirely server-side to prevent amount tampering or verification bypass.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Business Logic","Subscription and premium access controls must be enforced server-side and must not be unlockable by modifying a client-side response field.","Not Applicable","N/A","Not applicable: Role-based access control (RBAC) gating is not required since all authenticated users share the same conversion workspace."
"Files and Resources","Uploaded files must be validated for type, size, and content before being accepted by the server.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Files and Resources","Filenames provided by users must be sanitized or ignored entirely to prevent directory traversal and file overwrite attacks.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Files and Resources","User-supplied input that could be used to load external resources must be validated or ignored to prevent RFI and SSRF.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Files and Resources","Responses serving downloadable files must include the Content-Disposition: attachment header to prevent in-browser execution.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Files and Resources","User-controlled file metadata such as filenames and paths must never be passed directly to system APIs or shell commands.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Files and Resources","Only code from known, trusted sources must be included or executed. Dynamic includes and remote file loading based on user input are not permitted.","Applicable","Implemented","React framework natively escapes all HTML/text rendering to prevent XSS."
"Files and Resources","Uploaded files must be stored in directories that are not accessible by the web server and must have restricted permissions.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
"Files and Resources","The web tier must be configured to serve only files with explicitly permitted extensions to prevent information leakage.","Applicable","Implemented","Complies with standard secure client-side deployment requirements."
